release_agency,species,run,brood_year,release_year,first_release_date,last_release_date,mean_release_date,release_stage,rearing_type,avg_weight,avg_length,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,total_release
RFEG,chinook,3,1997,1998,5/31/1998,5/31/1998,151,,H,4.53,74.21022016,UNION R      15.0503,HUSON POND PROJECT,GEORGE ADAMS (PURDY),WA,HOOD,WKIT,30000
RFEG,chinook,3,2003,2004,7/7/2004,7/7/2004,189,,H,5.03,100,HAMMA HAMMA  16.0251,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,51500
RFEG,chinook,3,2004,2005,3/18/2005,3/18/2005,77,,H,1.13,47.21764326,HAMMA HAMMA  16.0251,RFEG 6 HOOD CANAL,HAMMA HAMMA  16.0251,WA,HOOD,SKDO,45000
RFEG,chinook,3,2002,2003,7/1/2003,7/1/2003,182,,H,5.66,79.79170965,HAMMA HAMMA  16.0251,RFEG 6 HOOD CANAL,HAMMA HAMMA  16.0251,WA,HOOD,SKDO,48225
WDFW,chinook,1,1996,1997,6/24/1997,6/24/1997,175,,H,1.54,52,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,94100
RFEG,chinook,3,1994,1995,5/16/1995,5/16/1995,136,,H,7.82,88.64875206,INDEP TRIB  15.0069A,ROSEDALE POND PROJ,MINTER CR    15.0048,WA,SPS,EKPS,15000
WDFW,chinook,3,2010,2011,5/23/2011,5/23/2011,143,,H,5.66,79.79170965,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,256991
RFEG,chinook,3,1992,1993,5/31/1993,5/31/1993,151,S,H,16.18,112.330162,BIG BEEF CR  15.0389,RFEG 6 HOOD CANAL,BIG BEEF CR  15.0389,WA,HOOD,WKIT,10000
RFEG,chinook,3,1992,1993,5/31/1993,5/31/1993,151,S,H,10.3,96.96779447,BIG BEEF CR  15.0389,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,WKIT,49387
RFEG,chinook,3,1992,1993,4/17/1993,4/17/1993,107,S,H,9.79,95.37750777,BIG BEEF CR  15.0389,RFEG 6 HOOD CANAL,BIG BEEF CR  15.0389,WA,HOOD,WKIT,10000
RFEG,chinook,3,1991,1992,5/31/1992,5/31/1992,152,S,H,8.24,90.17185775,TARBOO CR    17.0129,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,LUDA,55000
RFEG,chinook,3,1991,1992,5/19/1992,5/19/1992,140,S,H,6.96,85.34866223,TARBOO CR    17.0129,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,LUDA,40000
RFEG,chinook,3,2008,2009,4/11/2009,6/14/2009,133,,H,7.56,89,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,80745
RFEG,chinook,3,2004,2005,3/18/2005,3/18/2005,77,,H,1.13,47.21764326,HAMMA HAMMA  16.0251,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,45000
RFEG,chinook,3,2001,2002,7/15/2002,7/15/2002,196,,H,5.66,79.79170965,HAMMA HAMMA  16.0251,RFEG 6 HOOD CANAL,HAMMA HAMMA  16.0251,WA,HOOD,SKDO,53000
COOP,chinook,3,2011,2012,5/18/2012,5/18/2012,139,,H,3.81,44,WHATCOM CR   01.0566,WHATCOM CR HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,36000
COOP,chinook,3,1995,1996,3/29/1996,3/29/1996,89,,H,0.9,43.84506059,UNION R      15.0503,SAND HILL ES(BELFAIR,GEORGE ADAMS (PURDY),WA,HOOD,WKIT,1000
WDFW,chinook,1,1950,1952,8/22/1952,8/22/1952,235,S,H,9.64,94.89917303,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,11186
WDFW,chinook,1,1950,1952,8/22/1952,8/22/1952,235,S,H,9.25,93.63154995,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,12299
WDFW,chinook,1,2003,2004,5/12/2004,5/12/2004,133,,H,5.15,78,NOOKSACK R -NF 01.0120,KENDALL CR HATCHERY,NOOKSACK R   01.0120,WA,NOWA,NOOK,8900
WDFW,chinook,3,2001,2002,5/28/2002,5/28/2002,148,,H,6.29,85,MCALLISTER CR11.0324,GEORGE ADAMS HATCHERY,MCALLISTER CR11.0324,WA,SPS,NISQ,135692
WDFW,chinook,1,2001,2002,6/1/2002,6/1/2002,152,,H,6.38,81,KENDALL CR   01.0406,KENDALL CR HATCHERY,NOOKSACK R   01.0120,WA,NOWA,NOOK,102600
WDFW,chinook,3,1994,1995,5/1/1995,5/1/1995,121,,H,9.07,93.03431581,CHAMBERS CR  12.0007,GARRISON HATCHERY,CHAMBERS CR  12.0007,WA,SPS,CHAM,18000
WDFW,chinook,3,1952,1953,3/4/1953,3/4/1953,63,F,H,0.47,35.48516309,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,101436
